,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1564,1564,32305,El erizo,Le hérisson,"['Comedia', 'Drama']",['Mona Achache'],"['goldfish', 'death of neighbor', 'bookcase', 'parisian girl', 'distinguished gentleman', 'insightful', 'suicidal thoughts', 'dancing in the street', 'woman director', 'child']","['Josiane Balasko', 'Garance Le Guillermic', 'Togo Igawa', 'Anne Brochet', 'Ariane Ascaride']",20
1565,1565,32340,El padre de mis hijos,Le père de mes enfants,['Drama'],['Mia Hansen-Løve'],['woman director'],"['Louis-Do de Lencquesaing', 'Chiara Caselli', 'Alice de Lencquesaing', 'Eric Elmosnino', 'Olivia Ross']",9
1566,1566,32355,El nombre (Le prénom),Le Prénom,"['Drama', 'Comedia']","['Alexandre de La Patellière', 'Matthieu Delaporte']",[],"['Patrick Bruel', 'Valérie Benguigui', 'Charles Berling', 'Guillaume de Tonquédec', 'Judith El Zein']",20
1567,1567,32361,Le Quattro Volte,Le quattro volte,['Drama'],['Michelangelo Frammartino'],"['shepherd', 'snail', 'old man', 'goat', 'birth', 'calabria italy']","['Giuseppe Fuda', 'Bruno Timpano', 'Nazareno Timpan']",9
1568,1568,32919,Arma letal 4,Lethal Weapon 4,"['Acción', 'Aventura', 'Comedia', 'Crimen', 'Suspense']",['Richard Donner'],"['lapd', 'house on fire', 'revolver']","['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo', 'Jet Li']",55
1569,1569,32924,Cartas a Julieta,Letters to Juliet,"['Comedia', 'Drama', 'Romance']",['Gary Winick'],"['italy', 'letter', 'romantic comedy', 'american abroad', 'boyfriend girlfriend', 'italian stereotype', 'verona italy', 'quest']","['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave', 'Franco Nero']",31
1570,1570,32988,Libertador,Libertador,"['Drama', 'Historia']",['Alberto Arvelo'],"['independence', 'biography', 'latin america']","['Edgar Ramírez', 'María Valverde', 'Iwan Rheon', 'Danny Huston', 'Imanol Arias']",21
1571,1571,33093,Como locos,Like Crazy,"['Drama', 'Romance']",['Drake Doremus'],"['chair', 'customs', 'student visa', 'parents', 'blogger']","['Anton Yelchin', 'Felicity Jones', 'Jennifer Lawrence', 'Charlie Bewley', 'Alex Kingston']",20
1610,1610,37014,Minor Details,Minor Details,"['Aventura', 'Familia', 'Misterio']",['John Lyde'],"['boarding school', 'student', 'teenager', 'aftercreditsstinger', 'high school rivalry', 'group of girls', 'poisoning']","['Kelsey Edwards', 'Caitlin E.J. Meyer', 'Danielle C. Ryan', 'Lauren Faber', 'Jennette McCurdy']",35
1612,1612,37164,Mission: Impossible,Mission: Impossible,"['Aventura', 'Acción', 'Suspense']",['Brian De Palma'],"['paris france', 'london england', 'spy', 'cia', 'terrorist', 'secret identity', 'undercover', 'arms deal', 'headquarter', 'secret base', 'secret mission', 'prague', 'embassy', 'secret agent', 'tgv', 'computer', 'mission', 'based on tv series', 'espionage', 'agent']","['Tom Cruise', 'Jon Voight', 'Henry Czerny', 'Emmanuelle Béart', 'Jean Reno']",34
1613,1613,37165,Misión: Imposible - Protocolo Fantasma,Mission: Impossible - Ghost Protocol,"['Acción', 'Suspense', 'Aventura']",['Brad Bird'],"['submarine', 'prison', 'spy', 'terrorist', 'skyscraper', 'fight', 'russia', 'secret intelligence service', 'satellite', 'dubai', 'sequel', 'mission', 'explosion', 'broken arm', 'millionaire', 'imax', 'nuclear threat', 'terrorist plot', 'spy hero', 'moscow', ""world's tallest building"", 'kremlin']","['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Michael Nyqvist']",34
1614,1614,37166,Misión: Imposible - Nación secreta,Mission: Impossible - Rogue Nation,"['Acción', 'Aventura', 'Suspense']",['Christopher McQuarrie'],"['london england', 'spy', 'austria', 'europe', 'villain', 'sequel', 'mission', 'conspiracy', 'vienna opera', 'vienna']","['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Rebecca Ferguson', 'Ving Rhames']",34
1615,1615,37167,Misión: Imposible 2,Mission: Impossible II,"['Aventura', 'Acción', 'Suspense']",['John Woo'],"['terror', 'spain', 'cia', 'helicopter', 'secret identity', 'skyscraper', 'undercover', 'island', 'ex-lover', 'secret mission', 'dying and death', 'secret agent', 'computer', 'duel', 'lethal virus', 'violence', 'rescue team', 'agent', 'car', 'research laboratory']","['Tom Cruise', 'Dougray Scott', 'Thandie Newton', 'Richard Roxburgh', 'John Polson']",34
1616,1616,37168,Misión imposible 3,Mission: Impossible III,"['Aventura', 'Acción', 'Suspense']",['J.J. Abrams'],"['berlin, germany', 'cia', 'vatican', 'white house', 'secret identity', 'secret', 'explosive', 'mobile phone', 'map', 'traitor', 'mask', 'honeymoon', 'shanghai', 'pretended murder', 'secret mission', 'letter', 'funeral', 'covered investigation', 'to shoot dead', 'secret agent', 'video', 'stamp', 'hard drive', 'e-mail', 'decipherment', 'suitcase', 'computer', 'revenge', 'murder', 'mission', 'hospital', 'duel', 'disguise', 'celebration', 'good and bad', 'research laboratory', 'blast']","['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames', 'Billy Crudup', 'Michelle Monaghan']",34
1617,1617,37261,Modigliani,Modigliani,['Drama'],['Mick Davis'],"['painter', 'biography', 'romance', 'montparnasse', 'picasso']","['Andy García', 'Elsa Zylberstein', 'Omid Djalili', 'Hippolyte Girardot', 'Eva Herzigová']",9
1652,1652,40582,Junior Olsen Gang y el Secreto del oro negro,Olsenbanden jr. og det sorte gullet,"['Aventura', 'Familia']",['Arne Lindtner Næss'],"['egypt', 'oil']","['Oskar Øiestad', 'Jonas Hoff Oftebro', 'Fridtjof Tangen', 'Petter Mjøen Westlund', 'Lina Sørlie Strand']",23
1653,1653,40584,The Junior Olsen Gang Goes Submarine,Olsenbanden jr. går under vann,"['Comedia', 'Familia']",['Arne Lindtner Næss'],[],"['Aksel Støren Aschjem', 'Lars Berteig Andersen', 'Thomas Engeset', 'Jakob Schøyen Andersen', 'Julia Charlotte Geitvik']",22
1654,1654,40700,Ondine. La leyenda del mar,Ondine,"['Drama', 'Romance']",['Neil Jordan'],"['alcohol', 'mermaid', 'wedding dress', 'fishing net', 'selkie']","['Colin Farrell', 'Alicja Bachleda-Curuś', 'Dervla Kirwan', 'Alison Barry', ""Marion O'Dwyer""]",20
1655,1655,40714,One Day (Siempre el mismo día),One Day,"['Drama', 'Romance']",['Lone Scherfig'],"['based on novel or book', 'comedian', 'job', 'love', 'author', 'writer', 'divorce', 'best friends in love', 'woman director', 'missed opportunity']","['Anne Hathaway', 'Jim Sturgess', 'Tom Mison', 'Jodie Whittaker', 'Rafe Spall']",20
1656,1656,40871,Open Range,Open Range,['Western'],['Kevin Costner'],"['horse', 'beef', 'ranger']","['Kevin Costner', 'Robert Duvall', 'Michael Gambon', 'Michael Jeter', 'Diego Luna']",11
1660,1660,41462,Por encima de su cadaver,Over Her Dead Body,['Comedia'],['Jeff Lowell'],"['diary', 'romantic comedy', 'death of lover', 'spirit', 'death by accident', 'psychic', 'moving on', 'relationship sabotage']","['Eva Longoria', 'Jason Biggs', 'Lake Bell', 'Paul Rudd', 'Lindsay Sloane']",11
1661,1661,41766,Luna de papel,Paper Moon,"['Comedia', 'Crimen', 'Drama']",['Peter Bogdanovich'],"['bible', 'con man', 'carnival', 'funeral', 'great depression', 'missouri', 'friendship', 'aunt', 'kansas', 'girl', 'con', 'road movie', 'tween girl']","[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman', 'P.J. Johnson']",30
1695,1695,43729,Premonition (7 días),Premonition,"['Suspense', 'Drama', 'Misterio']",['Mennan Yapo'],"['deja vu', 'loss of loved one', 'dying and death', 'time travel', 'car crash']","['Sandra Bullock', 'Julian McMahon', 'Courtney Taylor Burness', 'Nia Long', 'Shyann McClure']",33
1696,1696,43790,Cuestión de Honor,Pride and Glory,"['Suspense', 'Crimen', 'Drama', 'Misterio']","[""Gavin O'Connor""]","['megacity', 'brother-in-law', 'police']","['Edward Norton', 'Jon Voight', 'Colin Farrell', 'Noah Emmerich', 'Jennifer Ehle']",43
1697,1697,43873,El príncipe de Persia: Las arenas del tiempo,Prince of Persia: The Sands of Time,"['Aventura', 'Fantasía', 'Acción', 'Romance']",['Mike Newell'],"['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']","['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint']",45
1700,1700,44223,Push,Push,"['Ciencia ficción', 'Acción']",['Paul McGuigan'],"['psychokinesis', 'mind control', 'secret government organization', 'clairvoyance', 'hong kong']","['Chris Evans', 'Dakota Fanning', 'Camilla Belle', 'Djimon Hounsou', 'Maggie Siff']",29
